Stock Symbol,Company Name,DARS Rating,Ex-Div Date,Payout Frequency,Div Payout,Pay Date,Qualified Dividend,Stock Price,Yield,Sector,Industry,Record Date,Declare Date,ADR
ASB-PR-C,Associated Banc-Corp PRFD 'C',N/A,2020-02-28,Quarter,$0.3828,2020-03-16,Qualified,$25.95,5.90%,Uncategorized,Other,2020-03-02,2020-02-04,No
SF-PR-A,Stifel Financial Corp 6.25% Non-cumulative Preferred Shares Series A,N/A,2020-02-28,Quarter,$0.3906,2020-03-16,Qualified,$26.61,5.85%,Uncategorized,Other,2020-03-02,2020-01-30,No
WFC-PR-T,Wells Fargo & Company Perpetual Series T Preferred Stock Class A,N/A,2020-02-27,Quarter,$0.3750,2020-03-16,Qualified,$25.59,5.85%,Uncategorized,Other,2020-02-28,2020-02-14,No
PUK-PR-A,Prudential plc - 6.50% SP PERPETUAL USD 25,N/A,2020-03-05,Quarter,$0.4063,2020-03-23,Non-Qualified,$27.66,5.83%,Uncategorized,Other,2020-03-08,2019-11-21,No
TDA,"Telephone and Data Systems, Inc. 7.60% Nt Ser A due 12/01/2041",N/A,2020-02-27,Quarter,$0.3672,2020-03-02,Non-Qualified,$25.11,5.83%,Uncategorized,Other,2020-02-28,2019-10-28,No
RNR-PR-C,RenaissanceRe Holdings Ltd. 6.08% Series C Preference Shares,N/A,2020-02-27,Quarter,$0.3800,2020-03-02,Unknown,$26.09,5.82%,Uncategorized,Other,2020-02-28,N/A,No
APO-PR-B,Apollo Global Management LLC - 6.375% PRF PERPETUAL USD 25 - Ser B,N/A,2020-02-27,Quarter,$0.3984,2020-03-16,Qualified,$27.45,5.81%,Uncategorized,Other,2020-02-28,2020-01-30,No
DOW,Dow Chemical,2.2,2020-02-27,Quarter,$0.7000,2020-03-13,Unknown,$46.35,5.80%,Basic Materials,Chemicals Major Diversified,2020-02-28,2020-02-13,No
HSBC-PR-A,"HSBC Holdings, plc. ADR SER A REP 1/40 PFD SER A",N/A,2020-02-27,Quarter,$0.3875,2020-03-16,Unknown,N/A,5.76%,Uncategorized,Other,2020-02-28,N/A,No
SLMBP,"SLM Corporation - Floating Rate Non-Cumulative Preferred Stock, Series B",N/A,2020-03-05,Quarter,$0.9099,2020-03-16,Qualified,$62.62,5.75%,Uncategorized,Other,2020-03-06,2020-01-30,No
